Deltoid,Bicep,Time,Bandpass_Filtered_Deltoid,Bandpass_Filtered_Bicep,RMS_Deltoid,RMS_Bicep
0.0,0.0,0.495,,,,
-4.0,-5.0,0.496,,,,
-4.0,-8.0,0.49700000000000005,,,,
-2.0,-2.0,0.498,,,,
2.0,2.0,0.499,,,,
8.0,0.0,0.5,,,,
10.0,0.0,0.501,,,,
8.0,1.0,0.502,,,,
4.0,1.0,0.503,,,,
3.0,-2.0,0.504,,,,
4.0,-2.0,0.505,,,,
6.0,0.0,0.506,,,,
5.0,2.0,0.507,,,,
5.0,1.0,0.508,,,,
5.0,0.0,0.509,,,,
1.0,1.0,0.51,,,,
-2.0,1.0,0.511,,,,
0.0,1.0,0.512,,,,
5.0,1.0,0.513,,,,
4.0,0.0,0.514,,,,
0.0,-4.0,0.515,,,,
-2.0,-7.0,0.516,,,,
-2.0,-9.0,0.517,,,,
-3.0,-5.0,0.518,,,,
-3.0,-3.0,0.519,,,,
-1.0,-4.0,0.52,,,,
2.0,-4.0,0.521,,,,
1.0,-2.0,0.522,,,,
0.0,-2.0,0.523,,,,
0.0,-3.0,0.524,,,,
2.0,-1.0,0.525,,,,
0.0,3.0,0.526,,,,
0.0,5.0,0.527,,,,
4.0,3.0,0.528,,,,
6.0,1.0,0.529,,,,
3.0,2.0,0.53,,,,
-1.0,2.0,0.531,,,,
0.0,-1.0,0.532,,,,
3.0,-2.0,0.5329999999999999,,,,
4.0,-2.0,0.534,,,,
1.0,-2.0,0.535,,,,
-1.0,-4.0,0.536,,,,
-6.0,-8.0,0.537,,,,
-6.0,-6.0,0.5379999999999999,,,,
1.0,-1.0,0.539,,,,
10.0,1.0,0.54,,,,
12.0,1.0,0.541,,,,
6.0,1.0,0.542,,,,
5.0,3.0,0.5429999999999999,,,,
8.0,3.0,0.544,,,,
7.0,0.0,0.545,,,,
1.0,0.0,0.546,,,,
0.0,1.0,0.547,,,,
6.0,2.0,0.5479999999999999,,,,
9.0,-1.0,0.5489999999999999,,,,
4.0,-4.0,0.55,,,,
2.0,-4.0,0.551,,,,
5.0,-4.0,0.552,,,,
10.0,-2.0,0.5529999999999999,,,,
8.0,-3.0,0.5539999999999999,,,,
3.0,-4.0,0.555,,,,
-1.0,-8.0,0.556,,,,
-3.0,-13.0,0.557,,,,
-3.0,-11.0,0.5579999999999999,,,,
1.0,-4.0,0.5589999999999999,,,,
7.0,0.0,0.56,,,,
9.0,1.0,0.561,,,,
4.0,1.0,0.562,,,,
2.0,2.0,0.563,,,,
3.0,2.0,0.564,,,,
1.0,0.0,0.565,,,,
-3.0,0.0,0.5660000000000001,,,,
-5.0,3.0,0.5670000000000001,,,,
-4.0,4.0,0.568,,,,
-3.0,3.0,0.569,,,,
-2.0,4.0,0.57,,,,
-1.0,5.0,0.5710000000000001,,,,
1.0,2.0,0.5720000000000001,,,,
3.0,0.0,0.573,,,,
-1.0,1.0,0.574,,,,
-7.0,3.0,0.575,,,,
-11.0,2.0,0.5760000000000001,,,,
-12.0,-3.0,0.5770000000000001,,,,
-10.0,-4.0,0.578,,,,
-3.0,-1.0,0.579,,,,
5.0,1.0,0.58,,,,
10.0,1.0,0.581,,,,
7.0,1.0,0.5820000000000001,,,,
4.0,0.0,0.583,,,,
5.0,-1.0,0.584,,,,
5.0,-1.0,0.585,,,,
2.0,0.0,0.586,,,,
1.0,0.0,0.5870000000000001,,,,
2.0,-3.0,0.588,,,,
4.0,-3.0,0.589,,,,
4.0,2.0,0.59,,,,
4.0,3.0,0.591,,,,
3.0,0.0,0.5920000000000001,,,,
3.0,-1.0,0.593,,,,
3.0,-1.0,0.594,,,,
3.0,0.0,0.595,,,,
0.0,-5.0,0.596,,,,
-4.0,-12.0,0.597,,,,
-5.0,-11.0,0.598,,,,
3.0,-4.0,0.599,,,,
14.0,1.0,0.6,,,,
12.0,1.0,0.601,,,,
3.0,0.0,0.602,,,,
1.0,-2.0,0.603,,,,
6.0,-5.0,0.604,,,,
7.0,-5.0,0.605,,,,
0.0,-1.0,0.606,,,,
0.0,1.0,0.607,,,,
7.0,0.0,0.608,,,,
12.0,-4.0,0.609,,,,
9.0,-5.0,0.61,,,,
4.0,-2.0,0.611,,,,
4.0,-3.0,0.612,,,,
4.0,-2.0,0.613,,,,
1.0,-3.0,0.614,,,,
0.0,-2.0,0.615,,,,
-3.0,-4.0,0.616,,,,
-5.0,-8.0,0.617,,,,
-5.0,-7.0,0.618,,,,
0.0,-5.0,0.619,,,,
9.0,-2.0,0.62,,,,
8.0,0.0,0.621,,,,
1.0,3.0,0.622,,,,
1.0,5.0,0.623,,,,
7.0,4.0,0.624,,,,
8.0,1.0,0.625,,,,
3.0,-1.0,0.626,,,,
2.0,-1.0,0.627,,,,
7.0,0.0,0.628,,,,
9.0,1.0,0.629,,,,
3.0,3.0,0.63,,,,
2.0,2.0,0.631,,,,
4.0,-1.0,0.632,,,,
8.0,0.0,0.633,,,,
4.0,1.0,0.634,,,,
0.0,0.0,0.635,,,,
-5.0,-1.0,0.636,,,,
-10.0,-5.0,0.637,,,,
-10.0,-4.0,0.638,,,,
0.0,0.0,0.639,,,,
11.0,0.0,0.64,,,,
12.0,0.0,0.6409999999999999,,,,
4.0,2.0,0.642,,,,
2.0,3.0,0.643,,,,
7.0,1.0,0.644,,,,
9.0,-2.0,0.645,,,,
5.0,0.0,0.6459999999999999,,,,
1.0,5.0,0.647,,,,
2.0,5.0,0.648,,,,
3.0,-1.0,0.649,,,,
1.0,-5.0,0.65,,,,
0.0,-2.0,0.6509999999999999,,,,
0.0,-1.0,0.652,,,,
2.0,-2.0,0.653,,,,
2.0,-4.0,0.654,,,,
2.0,-4.0,0.655,,,,
0.0,0.0,0.6559999999999999,,,,
-6.0,-2.0,0.657,,,,
-8.0,-4.0,0.6579999999999999,,,,
-4.0,-6.0,0.659,,,,
3.0,-5.0,0.66,,,,
3.0,-1.0,0.6609999999999999,,,,
-1.0,4.0,0.662,,,,
-2.0,6.0,0.6629999999999999,,,,
3.0,3.0,0.664,,,,
6.0,1.0,0.665,,,,
4.0,1.0,0.6659999999999999,,,,
-1.0,2.0,0.667,,,,
-2.0,0.0,0.6679999999999999,,,,
0.0,-3.0,0.669,,,,
3.0,-3.0,0.67,,,,
4.0,-1.0,0.6709999999999999,,,,
2.0,1.0,0.672,,,,
1.0,1.0,0.6729999999999999,,,,
